------------  ------------------  -----------------  ------------------  -------------------  ------------------  -------------------
% Train Data  Perceptron Face     Perceptron Num     Manual NN Face      Manual NN Num        PyTorch Face        PyTorch Num
10.0          0.73 ± 0.02         0.74 ± 0.02        0.52 ± 0.01         0.65 ± 0.01          0.51 ± 0.0          0.28 ± 0.02
10.0          0.35 ± 0.01         1.75 ± 0.01        50.05 ± 0.76        81.67 ± 1.42         0.5 ± 0.3           0.7 ± 0.01
20.0          0.77 ± 0.02         0.76 ± 0.01        0.56 ± 0.03         0.8 ± 0.01           0.49 ± 0.01         0.4 ± 0.02
20.0          0.57 ± 0.01         3.14 ± 0.05        93.11 ± 0.27        156.25 ± 0.98        0.28 ± 0.01         1.18 ± 0.02
30.0          0.83 ± 0.02         0.78 ± 0.02        0.73 ± 0.07         0.84 ± 0.0           0.6 ± 0.07          0.66 ± 0.03
30.0          0.79 ± 0.03         4.41 ± 0.16        136.69 ± 2.18       228.02 ± 1.88        0.36 ± 0.01         1.71 ± 0.05
40.0          0.85 ± 0.01         0.79 ± 0.01        0.73 ± 0.05         0.86 ± 0.0           0.74 ± 0.06         0.77 ± 0.01
40.0          0.97 ± 0.05         5.73 ± 0.16        182.95 ± 3.93       321.05 ± 5.96        0.46 ± 0.02         2.28 ± 0.04
50.0          0.84 ± 0.02         0.8 ± 0.01         0.87 ± 0.01         0.87 ± 0.0           0.75 ± 0.07         0.83 ± 0.01
50.0          1.19 ± 0.04         7.14 ± 0.26        235.36 ± 5.26       403.17 ± 8.28        0.58 ± 0.04         2.74 ± 0.12
60.0          0.84 ± 0.02         0.8 ± 0.01         0.89 ± 0.01         0.88 ± 0.0           0.84 ± 0.04         0.84 ± 0.01
60.0          1.3 ± 0.02          8.16 ± 0.11        268.25 ± 8.85       424.41 ± 3.23        0.57 ± 0.01         2.93 ± 0.03
70.0          0.82 ± 0.02         0.81 ± 0.01        0.88 ± 0.01         0.88 ± 0.0           0.87 ± 0.02         0.84 ± 0.01
70.0          1.47 ± 0.01         9.09 ± 0.02        297.38 ± 0.11       490.48 ± 0.44        0.65 ± 0.01         3.33 ± 0.01
80.0          0.87 ± 0.0          0.81 ± 0.01        0.89 ± 0.0          0.88 ± 0.0           0.9 ± 0.01          0.86 ± 0.01
80.0          1.64 ± 0.01         10.35 ± 0.03       339.65 ± 0.4        563.55 ± 1.44        0.7 ± 0.01          3.78 ± 0.02
90.0          0.84 ± 0.01         0.77 ± 0.02        0.88 ± 0.02         0.89 ± 0.0           0.9 ± 0.01          0.85 ± 0.01
90.0          1.81 ± 0.0          11.59 ± 0.03       381.21 ± 0.57       631.89 ± 0.39        0.81 ± 0.02         4.21 ± 0.01
100.0         0.85 ± 0.01         0.8 ± 0.01         0.89 ± 0.01         0.89 ± 0.0           0.91 ± 0.01         0.88 ± 0.01
100.0         2.02 ± 0.01         12.89 ± 0.02       426.24 ± 0.65       706.26 ± 0.7         0.87 ± 0.01         4.66 ± 0.01
------------  ------------------  -----------------  ------------------  -------------------  ------------------  -------------------
